Country Code,Name,Location,URL
NO,Kaffebrenneriet AS,"Grønlandsleiret 32, 0190 Oslo",https://www.kaffebrenneriet.no/
NO,Tim Wendelboe AS,"Grüners gate 1, 0552 Oslo",https://www.timwendelboe.no/
NO,Supreme Roastworks,"Thorvald Meyers gate 18A, 0555 Oslo",https://www.srw.no/
NO,Solberg & Hansen AS,"Enebakkveien 125, 0680 Oslo",https://sh.no/
NO,Kaffa Oslo,"Enebakkveien 117, 0680 Oslo",https://www.kaffa.no/
NO,Crema Kaffebrenneri AS,"Råstadveien 186, 3239 Sandefjord",https://crema.no/
NO,Fjellbrent Kaffebrenneri,"Dalsbygdvegen 489, 6320 Isfjorden",https://www.fjellbrent.no/
NO,Jacobsen og Svart,"Fjordgata 20, 7010 Trondheim",https://jacobsensvart.no/
NO,Storm Kaffe,"Jarleveien 8A, 7041 Trondheim",https://www.stormkaffe.no/
NO,Pala Kaffebrenneri,"Nardoveien 10, 7043 Trondheim",https://www.pala.no/
NO,Langøra Kaffebrenneri,"Hjelseng Gård, 7506 Stjørdal",https://www.langorakaffe.no/
NO,Inderøy Kaffebrenneri,"Sundsøya 4, 7670 Inderøy",https://www.instagram.com/inderoykaffebrenneri/
NO,Bønner i byen AS,"Bodøsjøveien 50, 8013 Bodø",https://bonneribyen.no/
NO,Kaffebrenneri Brent,"Dreyersgate 3, 8312 Henningsvær",https://www.facebook.com/brentkaffe/
NO,Senja Roasters,"Tranøyveien 3935, 9392 Stonglandseidet",https://senjaroasters.com/
